MonthNumeric,MonthFactor,Year,RAV4Sales,Unemployment,RAV4Queries,CPIAll,CPIEnergy,PercentChange
1,January,2011,11196,9.1,29,221.187,229.258,0.1054
2,February,2011,12562,9,29,221.898,232.068,0.1183
3,March,2011,16082,9,29,223.046,240.079,0.0485
4,April,2011,15586,9.1,27,224.093,247.977,-0.0598
5,May,2011,8624,9,28,224.806,250.744,-0.0617
6,June,2011,9105,9.1,28,224.806,245.534,0.0456
7,July,2011,8814,9,31,225.395,246.187,-0.0506
8,August,2011,6502,9,28,226.106,246.88,0.0398
9,September,2011,7649,9,27,226.597,248.55,-0.014
10,October,2011,10680,8.8,28,226.75,246.655,-0.0133
11,November,2011,11330,8.6,27,227.169,247.64,0.1054
12,December,2011,14107,8.5,26,227.223,243.353,0.08
1,January,2012,9819,8.3,28,227.842,244.876,0.0225
2,February,2012,12677,8.3,27,228.329,248.898,0.0731
3,March,2012,17367,8.2,29,228.807,249.742,0.0004
4,April,2012,15196,8.2,30,229.187,249.677,0.125
5,May,2012,19248,8.2,31,228.713,241.806,0.0107
6,June,2012,15129,8.2,33,228.524,235.897,0.0261
7,July,2012,15248,8.2,33,228.59,233.568,0.0102
8,August,2012,15685,8.1,36,229.918,244.987,-0.0092
9,September,2012,13796,7.8,33,231.015,252.987,0.0582
10,October,2012,10936,7.8,29,231.638,256.017,0.0108
11,November,2012,12423,7.7,34,231.249,248.819,-0.0344
12,December,2012,14351,7.9,34,231.221,244.708,-0.0254
1,January,2013,11610,8,36,231.679,245.025,-0.0605
2,February,2013,13329,7.7,39,232.937,255.696,0.0047
3,March,2013,16474,7.5,42,232.282,246.595,-0.021
4,April,2013,18541,7.6,44,231.797,240.473,-0.0405
5,May,2013,20780,7.5,38,231.893,240.468,0.0424
6,June,2013,20540,7.5,43,232.445,242.711,0.0563
7,July,2013,19538,7.3,42,232.9,242.986,-0.0141
8,August,2013,23502,7.2,40,233.456,244.833,-0.0316
9,September,2013,15928,7.2,39,233.544,242.745,0.0277
10,October,2013,17590,7.2,35,233.669,241.954,0.032
11,November,2013,19447,6.9,35,234.1,242.718,0.0146
12,December,2013,20970,6.7,33,234.719,245.733,0.0189
1,January,2014,16880,6.6,35,235.288,250.34,0.0265
2,February,2014,16451,6.7,38,235.547,249.925,0.0494
3,March,2014,19733,6.7,38,236.028,249.961,0.0328
4,April,2014,18834,6.2,38,236.468,249.864,-0.0062
5,May,2014,23465,6.3,36,236.918,249.213,-0.0082
6,June,2014,21589,6.1,42,237.231,249.714,-0.0305
7,July,2014,26779,6.2,48,237.498,248.744,-0.0022
8,August,2014,35614,6.1,46,237.46,245.699,-0.1199
9,September,2014,22724,5.9,42,237.477,241.61,-0.0093
10,October,2014,21524,5.7,39,237.43,237.061,0.0445
11,November,2014,21108,5.8,40,236.983,229.016,0.0146
12,December,2014,22997,5.6,34,236.252,218.536,-0.0112
1,January,2015,19824,5.7,38,234.747,199.926,-0.0248
